part_id,target_fname,cond,practice,trial_id,response
part01,../../target_stims/wav/a_dg11_CV.wav,block1,False,122,D
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,123,G
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,124,G
part01,../../target_stims/wav/a_dg14_CV.wav,block1,False,125,G
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,126,D
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,127,D
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,128,G
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,129,D
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,130,D
part01,../../target_stims/wav/a_dg11_CV.wav,block1,False,131,D
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,132,G
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,133,D
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,134,G
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,135,D
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,136,G
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,137,D
part01,../../target_stims/wav/a_dg11_CV.wav,block1,False,138,D
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,139,D
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,140,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,141,D
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,142,D
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,143,D
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,144,G
part01,../../target_stims/wav/a_dg11_CV.wav,block1,False,145,D
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,146,D
part01,../../target_stims/wav/a_dg14_CV.wav,block1,False,147,G
part01,../../target_stims/wav/a_dg10_CV.wav,block1,False,148,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,149,G
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,150,D
part01,../../target_stims/wav/a_dg15_CV.wav,block1,False,151,G
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,152,G
part01,../../target_stims/wav/a_dg16_CV.wav,block1,False,153,G
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,154,G
part01,../../target_stims/wav/a_dg09_CV.wav,block1,False,155,D
part01,../../target_stims/wav/a_dg13_CV.wav,block1,False,156,G
part01,../../target_stims/wav/a_dg14_CV.wav,block1,False,157,G
part01,../../target_stims/wav/a_dg11_CV.wav,block1,False,158,D
part01,../../target_stims/wav/a_dg12_CV.wav,block1,False,159,D
part01,../combined_stims/dg01_low.wav,block1,False,0,D
part01,../combined_stims/dg20_high.wav,block1,False,1,G
part01,../combined_stims/dg19_low.wav,block1,False,2,G
part01,../combined_stims/dg02_high.wav,block1,False,3,D
part01,a_dg10_CV.wav,low,False,0,D
part01,a_dg11_CV.wav,low,False,1,D
part01,a_dg09_CV.wav,high,False,2,D
part01,a_dg11_CV.wav,high,False,3,D
part01,a_dg15_CV.wav,high,False,4,G
part01,a_dg09_CV.wav,low,False,5,D
part01,a_dg14_CV.wav,low,False,6,D
part01,a_dg16_CV.wav,low,False,7,G
part01,a_dg14_CV.wav,low,False,8,D
part01,a_dg11_CV.wav,low,False,9,D
part01,a_dg12_CV.wav,high,False,10,D
part01,a_dg12_CV.wav,low,False,11,D
part01,a_dg15_CV.wav,low,False,12,D
part01,a_dg14_CV.wav,high,False,13,D
part01,a_dg10_CV.wav,low,False,14,D
part01,a_dg16_CV.wav,low,False,15,G
part01,a_dg13_CV.wav,high,False,16,D
part01,a_dg09_CV.wav,high,False,17,D
part01,a_dg16_CV.wav,low,False,18,D
part01,a_dg09_CV.wav,low,False,19,D
part01,a_dg16_CV.wav,high,False,20,G
part01,a_dg10_CV.wav,low,False,21,D
part01,a_dg11_CV.wav,low,False,22,D
part01,a_dg10_CV.wav,low,False,23,D
part01,a_dg14_CV.wav,low,False,24,D
part01,a_dg12_CV.wav,low,False,25,D
part01,a_dg12_CV.wav,low,False,26,D
