stim_fname,target_fname,condition
./combined_stims/mturk/wav/list3_dg11_107_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_108_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_109_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_110_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_111_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_112_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_113_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_114_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_115_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_116_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_117_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_118_highmid.wav,a_dg14_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg15_119_highmid.wav,a_dg15_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg16_120_highmid.wav,a_dg16_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg09_121_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_122_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_123_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_124_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_125_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_126_highmid.wav,a_dg14_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg15_127_highmid.wav,a_dg15_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg16_128_highmid.wav,a_dg16_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg09_129_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_130_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_131_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_132_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_133_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_134_highmid.wav,a_dg14_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg15_135_highmid.wav,a_dg15_CV.wav,highmid
